grid,t_idx,k,out_lines,source
IEEE118,34347,1,[10],random
IEEE118,1906,2,"[4, 88]",random
IEEE118,20888,0,[],random
IEEE118,5357,0,[],random
IEEE118,28530,1,[110],random
IEEE118,13718,1,[53],random
IEEE118,289,1,[136],random
IEEE118,13190,2,"[8, 125]",random
IEEE118,2789,0,[],random
IEEE118,20865,1,[92],random
IEEE118,28077,0,[],random
IEEE118,23805,1,[55],random
IEEE118,22287,1,[153],random
IEEE118,32415,1,[20],random
IEEE118,8290,0,[],random
IEEE118,27079,2,"[23, 113]",random
IEEE118,9235,0,[],random
IEEE118,14830,0,[],random
IEEE118,10404,0,[],random
IEEE118,28016,1,[24],random
IEEE118,20572,2,"[16, 90]",random
IEEE118,18755,0,[],random
IEEE118,5130,0,[],random
IEEE118,14401,0,[],random
IEEE118,4508,2,"[15, 135]",random
IEEE118,7517,2,"[97, 173]",random
IEEE118,12609,0,[],random
IEEE118,31490,0,[],random
IEEE118,28749,0,[],random
IEEE118,6354,1,[143],random
IEEE118,3397,2,"[45, 53]",random
IEEE118,7356,2,"[143, 147]",random
IEEE118,4322,2,"[110, 173]",random
IEEE118,8304,0,[],random
IEEE118,13809,1,[54],random
IEEE118,7123,2,"[10, 64]",random
IEEE118,27847,0,[],random
IEEE118,7332,2,"[73, 105]",random
IEEE118,7030,2,"[52, 138]",random
IEEE118,9668,0,[],random
IEEE118,29618,2,"[125, 128]",random
IEEE118,12723,1,[22],random
IEEE118,28435,1,[127],random
IEEE118,25273,2,"[71, 167]",random
IEEE118,8604,2,"[48, 91]",random
IEEE118,11935,0,[],random
IEEE118,8294,2,"[14, 116]",random
IEEE118,30612,1,[132],random
IEEE118,21722,2,"[27, 116]",random
IEEE118,11347,0,[],random
IEEE118,24179,2,"[79, 98]",random
IEEE118,2936,2,"[46, 157]",random
IEEE118,8950,0,[],random
IEEE118,6420,0,[],random
IEEE118,23923,0,[],random
IEEE118,30631,1,[30],random
IEEE118,2519,1,[114],random
IEEE118,19589,0,[],random
IEEE118,25470,2,"[4, 93]",random
IEEE118,6320,2,"[11, 155]",random
IEEE118,9130,1,[79],random
IEEE118,7298,0,[],random
IEEE118,30213,2,"[56, 95]",random
IEEE118,16547,1,[142],random
IEEE118,28944,0,[],random
IEEE118,29354,1,[70],random
IEEE118,5666,1,[161],random
IEEE118,28587,0,[],random
IEEE118,32144,1,[51],random
IEEE118,34188,2,"[76, 83]",random
IEEE118,9710,2,"[0, 68]",random
IEEE118,2517,1,[32],random
IEEE118,1872,0,[],random
IEEE118,17,0,[],random
IEEE118,8028,0,[],random
IEEE118,27985,1,[100],random
IEEE118,33797,0,[],random
IEEE118,10068,2,"[78, 84]",random
IEEE118,30673,0,[],random
IEEE118,26839,2,"[141, 146]",random
IEEE118,32037,1,[32],random
IEEE118,28031,2,"[79, 164]",random
IEEE118,8679,2,"[20, 68]",random
IEEE118,7659,0,[],random
IEEE118,11766,0,[],random
IEEE118,24686,0,[],random
IEEE118,28883,1,[65],random
IEEE118,11867,0,[],random
IEEE118,12804,2,"[13, 77]",random
IEEE118,34232,2,"[15, 155]",random
IEEE118,16164,0,[],random
IEEE118,7507,1,[0],random
IEEE118,22386,2,"[71, 151]",random
IEEE118,10689,1,[156],random
IEEE118,33148,2,"[71, 168]",random
IEEE118,29039,2,"[46, 154]",random
IEEE118,16341,1,[47],random
IEEE118,27362,2,"[0, 72]",random
IEEE118,29491,2,"[13, 160]",random
IEEE118,24194,1,[157],random
IEEE118,870,0,[],random
IEEE118,10037,1,[32],random
IEEE118,24796,0,[],random
IEEE118,5534,0,[],random
IEEE118,9499,2,"[101, 122]",random
IEEE118,8778,0,[],random
IEEE118,7419,2,"[50, 154]",random
IEEE118,14711,1,[116],random
IEEE118,22775,1,[42],random
IEEE118,27117,0,[],random
IEEE118,16900,0,[],random
IEEE118,11676,2,"[53, 84]",random
IEEE118,16756,2,"[143, 152]",random
IEEE118,12798,1,[28],random
IEEE118,1674,1,[40],random
IEEE118,32966,2,"[47, 133]",random
IEEE118,29718,2,"[9, 109]",random
IEEE118,2217,0,[],random
IEEE118,18369,0,[],random
IEEE118,8687,2,"[53, 140]",random
IEEE118,9827,1,[120],random
IEEE118,4116,2,"[1, 155]",random
IEEE118,32969,2,"[86, 118]",random
IEEE118,31168,1,[65],random
IEEE118,24006,1,[161],random
IEEE118,6468,1,[85],random
IEEE118,25068,1,[73],random
IEEE118,12130,2,"[18, 168]",random
IEEE118,10179,1,[82],random
IEEE118,162,0,[],random
IEEE118,4573,2,"[138, 152]",random
IEEE118,24716,0,[],random
IEEE118,7853,0,[],random
IEEE118,4632,0,[],random
IEEE118,25562,0,[],random
IEEE118,31778,1,[15],random
IEEE118,32554,2,"[9, 46]",random
IEEE118,2203,0,[],random
IEEE118,17403,2,"[4, 115]",random
IEEE118,26231,1,[160],random
IEEE118,25660,0,[],random
IEEE118,10660,2,"[75, 133]",random
IEEE118,6779,0,[],random
IEEE118,7128,1,[59],random
IEEE118,1331,2,"[41, 174]",random
IEEE118,11112,0,[],random
IEEE118,19510,1,[108],random
IEEE118,25174,1,[75],random
IEEE118,22965,1,[111],random
IEEE118,34371,0,[],random
IEEE118,25758,2,"[30, 143]",random
IEEE118,23381,0,[],random
IEEE118,26534,1,[37],random
IEEE118,4285,0,[],random
IEEE118,14354,0,[],random
IEEE118,1744,0,[],random
IEEE118,11122,0,[],random
IEEE118,9098,2,"[58, 134]",random
IEEE118,22098,1,[103],random
IEEE118,12539,2,"[16, 91]",random
IEEE118,13346,0,[],random
IEEE118,32009,1,[34],random
IEEE118,11751,2,"[18, 133]",random
IEEE118,5608,0,[],random
